target,dropped_block,cv_mae,cv_mae_std,cv_r2,cv_pearson,test_mae,test_rmse,test_r2,test_pearson,front_cv_mae,front_cv_r2,front_test_mae,front_test_r2,delta_cv_mae,delta_cv_r2,delta_test_mae,delta_test_r2,seconds
LANGUAGE_ST_NORM_VCI,BEH,9.796121978759766,0.8476771467301552,0.06574644998397723,0.29132167132439607,10.316399574279785,12.265630722045898,0.13420509790344415,0.4257245946130681,9.739710235595703,0.0794317145077347,10.143158912658691,0.155752847601762,0.0564117431640625,-0.01368526452375747,0.17324066162109375,-0.021547749698317853,2.0697953701019287
LANGUAGE_ST_NORM_VCI,EEG,9.761954879760742,0.9789678458851296,0.0724754111837947,0.31550876699173624,10.194825172424316,12.23279094696045,0.13883498711258524,0.4098066057956917,9.739710235595703,0.0794317145077347,10.143158912658691,0.155752847601762,0.022244644165038352,-0.006956303323939997,0.051666259765625,-0.01691786048917676,2.097391366958618
LANGUAGE_ST_NORM_VCI,MRI,9.76422119140625,0.9504664852490579,0.08079704056437649,0.3285929539730619,10.159849166870117,12.13343334197998,0.15276726208470415,0.4272334116311344,9.739710235595703,0.0794317145077347,10.143158912658691,0.155752847601762,0.02451095581054652,0.0013653260566417885,0.01669025421142578,-0.002985585517057854,2.145397424697876
LANGUAGE_ST_NORM_VCI,DTI,10.048749732971192,0.8112358863925759,0.04525749458195971,0.29115312198367593,10.329463005065918,12.284005165100098,0.13160905591665062,0.3977694310484242,9.739710235595703,0.0794317145077347,10.143158912658691,0.155752847601762,0.30903949737548864,-0.03417421992577499,0.18630409240722656,-0.024143791685111382,2.280810832977295
LANGUAGE_ST_NORM_VCI,DL,9.683533668518066,0.9828855066079194,0.08063696066338835,0.3251708975732514,10.313920021057129,12.32408618927002,0.12593299955837356,0.39597300900666216,9.739710235595703,0.0794317145077347,10.143158912658691,0.155752847601762,-0.056176567077637074,0.0012052461556536498,0.1707611083984375,-0.02981984804338844,2.334578037261963
LANGUAGE_ST_NORM_VCI,FC,9.737135124206542,0.9785522842122293,0.07711516352693641,0.3179591597715207,10.142926216125488,12.095087051391602,0.15811396105453435,0.4340810260782471,9.739710235595703,0.0794317145077347,10.143158912658691,0.155752847601762,-0.002575111389161222,-0.0023165509807982904,-0.000232696533203125,0.0023611134527723454,2.3207478523254395
LANGUAGE_ST_NORM_VCI,SEX,9.7222469329834,0.9735785214679413,0.0787643491146344,0.3198300169981501,10.129185676574707,12.095168113708496,0.15810272108016676,0.4343646510132832,9.739710235595703,0.0794317145077347,10.143158912658691,0.155752847601762,-0.017463302612304332,-0.0006673653931003054,-0.013973236083984375,0.0023498734784047626,2.7178306579589844
MEMORY_ST_NORM_AudImm,BEH,9.969972229003906,0.4028190080615596,0.05476127563163311,0.28343606192710535,10.540793418884277,12.996734619140625,0.04381988150965399,0.3280884899161706,9.90788345336914,0.073905303036446,10.28717803955078,0.0875659058196645,0.062088775634766336,-0.019144027404812893,0.25361537933349787,-0.04374602431001051,1.8978385925292969
MEMORY_ST_NORM_AudImm,EEG,9.921319961547852,0.5105922647494221,0.06610218948020494,0.3139308618655222,10.202411651611328,12.589927673339844,0.10274127842248737,0.4035289776374452,9.90788345336914,0.073905303036446,10.28717803955078,0.0875659058196645,0.013436508178712003,-0.0078031135562410675,-0.08476638793945135,0.015175372602822867,2.103666067123413
MEMORY_ST_NORM_AudImm,MRI,9.89636058807373,0.31920116855078434,0.08076682835130566,0.32756465216056085,10.513656616210938,12.796061515808105,0.0731193347221144,0.36960315000426563,9.90788345336914,0.073905303036446,10.28717803955078,0.0875659058196645,-0.011522865295409801,0.0068615253148596594,0.22647857666015803,-0.014446571097550098,2.0565528869628906
